LinReg,LinRegError,ARIMA,ARIMAError,kNN,kNNError,MLP,MLPError
357.81379543914227,53.0054794217949,361.6410730829723,10.565947428990018,22.21999979019165,280.9965207284452,23.932073037617535,279.82406719909596
357.9153886934946,53.0054794217949,390.9112215422386,10.565947428990018,24.317500591278076,280.9965207284452,23.961015173386787,279.82406719909596
358.01698194784694,53.0054794217949,385.90321082240916,10.565947428990018,31.1875,280.9965207284452,24.282467477013373,279.82406719909596
358.1185752021993,53.0054794217949,404.2774019919808,10.565947428990018,31.31500005722046,280.9965207284452,27.81372882641719,279.82406719909596
358.2201684565516,53.0054794217949,411.8240966735847,10.565947428990018,38.51249885559082,280.9965207284452,60.454483232459864,279.82406719909596
358.5249482195941,53.0054794217949,414.4739557476095,10.565947428990018,198.43250274658203,280.9965207284452,224.03154204067155,279.82406719909596
358.6265414739464,53.0054794217949,427.7142096861843,10.565947428990018,224.3125,280.9965207284452,225.57782240946523,279.82406719909596
358.82972798263654,53.0054794217949,432.5421686980252,10.565947428990018,283.0299987792969,280.9965207284452,274.05022397342424,279.82406719909596
358.9313212369889,53.0054794217949,439.29586904928317,10.565947428990018,306.07000732421875,280.9965207284452,298.92362076249464,279.82406719909596
359.2361010000459,53.0054794217949,434.13726101967194,10.565947428990018,354.90250396728516,280.9965207284452,302.7893080957907,279.82406719909596
